Entry Number ,Region ,Seeker,Supplier,Paltform Model,Platform  Type,Year of Interest ,Year of Order,Year of First Delivery,"Year of  Identification, Completion, or Cancellation",Status,Source 1,Source 2,Source 3,Comments
12,Europe,Romania,United States,Shadow-600,UAV,,1997.0,1999.0,2000.0,Yes,SIPRI,Aviation Week,Flight Global,"SIPRI Comments: ""$23m deal"""
13,Indo-Pacific,South Korea,Israel,Harpy,Loitering Munition,,1997.0,1998.0,2000.0,Yes,SIPRI,,,
14,Indo-Pacific,South Korea,Israel,Harpy,Loitering Munition,,1997.0,1998.0,2000.0,Yes,SIPRI,,,
15,Europe,Belgium,Israel,Hunter,UAV,,1998.0,2001.0,2002.0,Yes,SIPRI,,,"SIPRI Comments: ""$73m deal; B-Hunter version"""
16,South America,Chile,Israel,Harpy,Loitering Munition,,1998.0,1998.0,1999.0,Yes,SIPRI,,,
17,Indo-Pacific,China,Israel,Harpy,Loitering Munition,,1998.0,1998.0,1999.0,Yes,SIPRI,,,
18,Europe,Sweden,France,Sperwer,UAV,,1998.0,1999.0,2000.0,Yes,SIPRI,,,
19,Europe,Turkey,United States,Gnat-750,UAV,,1998.0,,1998.0,Yes,SIPRI,,,"SIPRI Comments: ""I-Gnat version"""
20,Europe,Denmark,France,Sperwer,UAV,,1999.0,2001.0,2002.0,Yes,SIPRI,,,"SIPRI Comments: ""$55m deal (incl. 2 launchers); Danish designation Trnfalken; inactive in 2006"""
21,Europe,Finland,Israel,Ranger,UAV,,1999.0,2001.0,2001.0,Yes,SIPRI,,,"SIPRI Comments: ""$20m deal; ordered via Swiss company"""
22,Indo-Pacific,India,Israel,Searcher Mk II,UAV,,1999.0,2001.0,2001.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of $300m deal; Searcher 2 version; bought after experiences in 1999 fighting with Pakistan"""
23,Europe,Turkey,Israel,Harpy,Loitering Munition,,1999.0,2001.0,2004.0,Yes,SIPRI,,,"SIPRI Comments: ""$76m deal"""
24,Indo-Pacific,India,Israel,Heron,UAV,,2000.0,2001.0,2002.0,Yes,SIPRI,,,"SIPRI Comments: ""Possibly $90m deal"""
25,Indo-Pacific,Indonesia,France,Fox,UAV,,2000.0,,2000.0,Yes,SIPRI ,,,"SIPRI Comments: ""Fox AT-1 version"""
26,Europe,Romania,United States,Shadow-600,UAV,,2000.0,2001.0,2001.0,Yes,SIPRI,,,"SIPRI Comments: ""$7.5m deal"""
27,Indo-Pacific,South Korea,United States,Shadow-400,UAV,,2000.0,2001.0,2002.0,Yes,SIPRI,,,
28,Indo-Pacific,Sri Lanka,Israel,Scout,UAV,,2000.0,2001.0,2001.0,Yes,SIPRI,,,"SIPRI Comments: ""Super Scout version; for use against LTTE rebels"""
29,Indo-Pacific,Sri Lanka,Israel,Searcher Mk II,UAV,,2000.0,2001.0,2001.0,Yes,SIPRI,,,"SIPRI Comments: ""Searcher 2 version; for use against LTTE rebels"""
30,Indo-Pacific,Thailand,Israel,Searcher,UAV,,2000.0,2001.0,2001.0,Yes,SIPRI,,,"SIPRI Comments: ""$12m deal"""
31,Central,Egypt,Austria,Camcopter S-100,UAV,,2001.0,,2002.0,Yes,SIPRI,,,"SIPRI Comments: ""Financed by U.S. Foreign Military Financing (FMF) aid"""
32,Europe,France,Israel,Eagle,UAV,,2001.0,,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""Système intérimaire de drone MALE (SIDM) program"""
33,Indo-Pacific,India,Israel,Searcher Mk II,UAV,,2001.0,2002.0,2003.0,Yes,SIPRI,,,
34,Europe,Italy,United States,RQ-1 Predator,UAV,,2001.0,2004.0,2004.0,Yes,SIPRI,,,"SIPRI Comments: ""$55m deal; RQ-1A version"""
35,Indo-Pacific,Philippines,Israel,Blue Horizon,UAV,,2001.0,,2001.0,Yes,SIPRI,CSD Drone Databook,,"SIPRI Comments: ""$1–1.2m or $2–12m deal; for use against Abu Sayyaf and other Muslim rebels; possibly delivered from Singapore;"" Final status uncertain"
36,Europe,Cyprus,Israel,Searcher,UAV,,2002.0,,2002.0,Yes,SIPRI,,,
37,Europe,France,Germany,CL-289,UAV,,2002.0,,2002.0,Yes,SIPRI,,,"SIPRI Comments: ""Secondhand"""
38,Europe,Greece,France,Sperwer,UAV,,2002.0,2004.0,2006.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of EUR 36m ($35m) deal for 2 Sperwer UAV systems"""
39,Indo-Pacific,India,Israel,Searcher Mk II,UAV,,2002.0,2003.0,2003.0,Yes,SIPRI,,,
40,Central,United Arab Emirates,South Africa,Seeker 2,UAV,,2002.0,2003.0,2003.0,Yes,SIPRI,,,
41,North America,Canada,France,Sperwer,UAV,,2003.0,,2003.0,Yes,SIPRI,,,"SIPRI Comments: ""CAN 34M ($24m) deal (incl. 2 ground control stations); originally 4 delivered but 2 more delivered after 2 crashed; for use in Afghanistan"""
42,Africa,Cote d'Ivoire,Israel,Aerostar,UAV,,2003.0,2004.0,2004.0,Yes,SIPRI,,,
43,Europe,Finland,Israel,Ranger,UAV,,2003.0,2005.0,2005.0,Yes,SIPRI,,,"SIPRI Comments: ""$20m deal; ordered via Swiss company; Ranger-2 version"""
44,Indo-Pacific,India,Israel,Heron-MP,UAV,,2003.0,2005.0,2005.0,Yes,SIPRI,,,"SIPRI Comments: ""Maritime patrol UAV"""
45,Indo-Pacific,India,Israel,Heron,UAV,,2003.0,2005.0,2006.0,Yes,SIPRI,,,
46,Africa,Botswana ,Israel,Hermes-450,UAV,,2004.0,,,Additional Sources Required,Times Aerospace,,,
47,Europe,Georgia,Israel,Aerostar,UAV,,2004.0,2005.0,2005.0,Yes,SIPRI,,,
48,Europe,Italy,United States,RQ-1 Predator,UAV,,2004.0,2005.0,2005.0,Yes,SIPRI,Military Africa,,
49,Central,Lebanon (Hezbollah),Iran,Mohajer-4,UAV,,2004.0,,2004.0,Yes,SIPRI,,,"SIPRI Comments: ""Probably Mohajer-4 version"""
50,North America,United States,Israel,Aerostar,UAV,,2004.0,,2004.0,Yes,SIPRI,,,"SIPRI Comments: ""For training"""
51,Indo-Pacific,Australia,Israel,Skylark I,UAV,,2005.0,,2005.0,Yes,Elbit Systems,Ynetnew.com,Press Release (via Defense Aerospace.com),"From Australian Department of Defence Press Release, Nov 2005 [Source 3]: ""[Australian] Defence Minister Robert Hill said four Skylark miniature UAVs will be deployed to assist the second rotation of the Al Muthanna Task Group (AMTG). A further two UAVs will remain in Australia for training and preparation purposes."""
52,Europe,France,Israel,Heron,UAV,,2005.0,2009.0,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""French designation Harfang (former SIDM program); equipped with French surveillance systems"""
53,Central,Lebanon (Hezbollah),Iran,Ababil-T,Loitering Munition,,2005.0,2006.0,2006.0,Yes,SIPRI,Oryx,USIP,Referred to as Ababil 2-T by Oryx; USIP reports order in 2004
54,Europe,Poland,Israel,Orbiter,UAV,,2005.0,,2006.0,Yes,Polish Language Source,Deagel.com,,
55,Indo-Pacific,Singapore,Israel,Hermes-450,UAV,,2005.0,2006.0,2007.0,Yes,SIPRI,,,
56,Europe,Turkey,Israel,Heron,UAV,,2005.0,2010.0,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""$183m deal (offsets 30%); delivery delayed 2 years after complications with integration of Turkish systems"""
57,Central,United Arab Emirates,South Korea,RemoEye-006,UAV,,2005.0,,,Additional Sources Required,Flight Global,,,"No subsequent reporting indicating completion of the deal—however, highly likely it was completed"
58,Europe,United Kingdom,Israel,Hermes-450,Armed UAV,,2005.0,2012.0,2016.0,Yes,SIPRI,,,"No subsequent reporting indicating completion of the deal—however, highly likely it was completed"
59,North America,Canada,France,Sperwer,UAV,,2006.0,,2006.0,Yes,SIPRI,,,"SIPRI Comments: ""CAN 15m deal; assembled from kits in Canada"""
60,North America,Canada,Denmark,Sperwer,UAV,,2006.0,,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""Secondhand (only few years old); for use in Afghanistan"""
61,South America,Colombia,United States,ScanEagle,UAV,,2006.0,2006.0,2007.0,Yes,SIPRI,,,
62,Europe,Croatia,Israel,Hermes-450,UAV,,2006.0,2007.0,2007.0,Yes,SIPRI,,,
63,Europe,Greece,France,Sperwer,UAV,,2006.0,2007.0,2008.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of 2 Sperwer UAV systems"""
64,Indo-Pacific,India,Israel,Heron,UAV,,2006.0,2006.0,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""Possibly $200–266m deal"""
65,Indo-Pacific,Indonesia,Israel,Searcher Mk II,UAV,,2006.0,2012.0,2012.0,Yes,SIPRI,,,"SIPRI Comments: ""Searcher 2 version; ordered via Philippine company"""
66,Europe,Netherlands,Germany,Aladin,UAV,,2006.0,,2006.0,Yes,Flight Global,Defense Industry Daily,FlightGlobal,"No confirmation of delivery, but Defense Industry Daily suggests quick deployment for SOF; FlightGlobal claims operationality and deployment in 2006"
67,Africa,Nigeria,Israel,Aerostar,UAV,,2006.0,2007.0,2007.0,Yes,SIPRI ,,,"SIPRI Comments: ""Part of $260m deal; part of 3 Aerostar UAV systems"""
68,Central,Pakistan,Germany,Luna,UAV,,2006.0,2007.0,2008.0,Yes,SIPRI,,,"SIPRI Comments: ""For 3 Luna UAV systems; delivery temporarily delayed after Pakistani state of emergency in 2007"""
69,Central,Pakistan,Italy,Falco,UAV,,2006.0,2008.0,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""Incl. assembly in Pakistan"""
70,Indo-Pacific,Sri Lanka,Israel,Scout,UAV,,2006.0,2007.0,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""Super Scout version"""
71,Central,United Arab Emirates,Sweden,APID-55,UAV,,2006.0,2008.0,2009.0,Yes,SIPRI,,,
72,Central,United Arab Emirates,Austria,Camcopter S-100,UAV,,2006.0,2006.0,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""Incl. production of components and/or production under license in UAE; UAE designation al-Saber"""
73,Europe,United Kingdom,United States,MQ-9 Reaper,Armed UAV,,2006.0,2007.0,2008.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of $77m Project Dabinett; for use in Afghanistan"""
74,Indo-Pacific,Australia,United States,ScanEagle,UAV,,2007.0,,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""Leased for use in Iraq, Afghanistan, and Iraq"""
75,Europe,Azerbaijan,Israel,Aerostar,UAV,,2007.0,2008.0,2008.0,Yes,SIPRI,,,
76,Europe,Georgia,Israel,Hermes-450,UAV,,2007.0,,2007.0,Yes,SIPRI,,,
77,Europe,Germany,United States,RQ-4A Global Hawk,UAV,,2007.0,,2013.0,No,GlobalHawk,,,Part of the Euro Hawk program; Germany canceled in May 2013
78,Europe,Poland,Israel,Orbiter,UAV,,2007.0,,2008.0,Yes,Polish Language Source,Deagel,,
79,Indo-Pacific,South Korea,Israel,Skylark II,UAV,,2007.0,,,Pending,Haaretz,Flight Global,Jerusalem Post,No reporting on delivery of Skylark systems. 
80,Europe,Spain,Israel,Searcher Mk II,UAV,,2007.0,2007.0,2008.0,Yes,SIPRI,,,"SIPRI Comments: ""EUR 14m deal; Searcher 2 version; for use in Afghanistan"""
81,Europe,Spain,United States,RQ-11 Raven,UAV,,2007.0,,2008.0,Yes,CSD Drone Databook,Defense Industry Daily,EL Pais ,
82,Indo-Pacific,Sri Lanka,Israel,Blue Horizon,UAV,,2007.0,,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""Blue Horizon-2 version"""
83,Africa,Sudan,Iran,Ababil-3,UAV,,2007.0,,2008.0,Yes,SIPRI,Oryx,BBC,
84,Europe,Turkey,Israel,Heron,UAV,,2007.0,,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""Lease; $10m deal"""
85,Europe,Turkey,Israel,Aerostar,UAV,,2007.0,2008.0,2008.0,Yes,SIPRI,,,"SIPRI Comments: ""Interim solution after delay in delivery of Heron UAV"""
86,Europe,United Kingdom,Israel,Hermes-450,Armed UAV,,2007.0,,2007.0,Yes,SIPRI,,,"SIPRI Comments: ""$110m Project Lydian; for use in Iraq and Afghanistan"""
87,South America,Venezuela,Iran,Mohajer-3,UAV,,2007.0,2012.0,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""Probably Mohajer-3 version; Venezuelan designation probably Sant Arpia"" "
88,South America,Venezuela,Iran,Mohajer-2,UAV,,2007.0,2012.0,,Yes,Oryx,USIP,,"From USIP: ""Venezuela: In 2007, Iran agreed to sell Venezuela assembly kits for Mohajer-2 surveillance drones, which have a range of 50 kilometers (31 miles) and are used for surveillance. By 2012, military engineers, trained in Iran, produced three drones. “We are continuing to make them... not just for military use,” President Hugo Chavez announced. The Venezuelan version of the Mohajer-2, renamed the Arpia-001, had only cameras but no weaponry and were for defensive purposes, Chavez said. “We don’t have any plans to harm anyone.” By 2013, the air force reportedly had about a dozen Mohajer-2s to surveil drug traffickers, patrol the border, and protect oil fields."""
89,Indo-Pacific,Australia,Israel,Skylark I,UAV,,2008.0,,2008.0,Yes,Elbit Systems,FlightGlobal,,
90,Europe,Azerbaijan,Israel,Hermes-450,UAV,,2008.0,2011.0,2013.0,Yes,SIPRI,,,
91,North America,Canada,Israel,Heron,UAV,,2008.0,,2008.0,Yes,SIPRI,Canadian Army Today,,"Leased for two years while the Sperwer was phased out;
SIPRI Comments: ""CAD 95m ($81m)  Project Noctua 2-year lease (extended until 2011); for use in Afghanistan; Canadian designation CU-170"""
92,South America,Ecuador,Israel,Heron,UAV,,2008.0,2009.0,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of $23m deal"""
93,South America,Ecuador,Israel,Searcher,UAV,,2008.0,2009.0,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of $23m deal"""
94,Europe,Germany,United States,MQ-9 Reaper,Armed UAV,,2008.0,,,Additional Sources Required,DSCA Report ,Flight Global,,No subesequent reporting or documentation that Germany followed through with initial request
95,Europe,Italy,United States,MQ-9 Reaper,UAV,,2008.0,2010.0,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""RQ-9 (RQ-1B) version"""
96,North America,Mexico,Israel,Hermes-450,UAV,,2008.0,2009.0,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of $25m deal"""
97,Europe,Slovakia ,Israel,Skylark I-LE,UAV,,2008.0,,2009.0,Yes,UNROCA,Israeldefense.co,,
98,Europe,Turkey,Israel,Searcher,UAV,,2008.0,,2008.0,Yes,SIPRI,,,"SIPRI Comments: ""Interim solution after delay in delivery of Heron UAV"""
99,Europe,United Kingdom,United States,MQ-9 Reaper,Armed UAV,,2008.0,2009.0,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""For use in Afghanistan"""
100,Europe,United Kingdom,United States,MQ-9 Reaper,Armed UAV,,2008.0,2010.0,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""For use in Afghanistan"""
101,Indo-Pacific,Australia,Israel,Heron,UAV,,2009.0,,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""'Project Nankeen; leased from producer via Canadian company; for use in Afghanistan"""
102,Europe,Czechia,Israel,Skylark I-LE,UAV,,2009.0,,2009.0,Yes,Army Technology,Czech Military Review,,
103,Europe,France,Israel,Heron,UAV,,2009.0,2010.0,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""$34m deal (incl. 1 control station); French designation Harfang; equipped with French surveillance system"""
104,Europe,Germany,Israel,Heron,UAV,,2009.0,2010.0,2011.0,Yes,SIPRI,,,"SIPRI Comments: ""'SAATEG-ZwL program; leased for use in Afghanistan"""
105,Europe,Germany,Israel,Harop,Loitering Munition,,2009.0,2011.0,,Yes,Flight Global,Air Force Technology,The Jerusalem Post,Joint development with IAI and Rheinmetall 
106,Indo-Pacific,India,Israel,Heron,UAV,,2009.0,,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""INR 11.2b ($239) deal"""
107,Indo-Pacific,India,Israel,Harop,Loitering Munition,,2009.0,2013.0,2014.0,Yes,SIPRI,Air Force Technology,,"SIPRI Comments: ""$100m deal"""
108,Europe,Italy,United States,MQ-9 Reaper,UAV,,2009.0,2010.0,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""$81m deal; RQ-9 (RQ-1B) version"""
109,Africa,Libya,Austria,Camcopter S-100,UAV,,2009.0,,2011.0,Yes,SIPRI,,,
110,Europe,Netherlands,Israel,Aerostar,UAV,,2009.0,,2009.0,Yes,SIPRI ,,,"SIPRI Comments: ""EUR 25–50m 18-month lease for use in Afghanistan; owned and operated by Israeli and UK company"""
111,Central,Pakistan,Italy,Falco,UAV,,2009.0,2010.0,2011.0,Yes,SIPRI,,,"SIPRI Comments: ""Incl. production of components and assembly in Pakistan"""
112,Indo-Pacific,Philippines,United States,Hunter,UAV,,2009.0,,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""Secondhand"""
113,Europe,Russia,Israel,Bird Eye 400,UAV,,2009.0,,2010.0,Yes,CSD Drone Databook ,UAS Vision,CNAS,
114,Europe,Russia,Israel,I-View-150,UAV,,2009.0,2009.0,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""$37m deal (part of $50–53m deal)"""
115,Europe,Russia,Israel,Searcher Mk II,UAV,,2009.0,2009.0,2010.0,Yes,SIPRI,CSD Drone Databook,,"SIPRI Comments: ""$12m deal (part of $53m deal)"""
116,Indo-Pacific,Thailand,Malaysia,Cyber Eye-2,UAV,,2009.0,,2009.0,Yes,SIPRI,,,"SIPRI Comments: ""Supplier uncertain (possibly from Australia via Malaysian company)"""
117,Central,Turkmenistan,Russia,ZALA 421-04M,UAV,,2009.0,,2009.0,Yes,Oryx,Shephard Media,,"Documented by a few sources, not yet seen; also reported as ZALA 421-12"
118,Central,United Arab Emirates,South Africa,Seeker 2,UAV,,2009.0,2010.0,2010.0,Yes,SIPRI,,,
119,Indo-Pacific,Australia,United States,RQ-7 Shadow-200,UAV,,2010.0,2011.0,2012.0,Yes,SIPRI,,,"SIPRI Comments: ""AUD 175m ($157m) deal (incl. 4 control systems); for use in Afghanistan"" "
120,Europe,Azerbaijan,Israel,Aerostar,UAV,,2010.0,2011.0,2012.0,Yes,SIPRI,,,"SIPRI Comments: ""Incl. production of components in Azerbaijan"""
121,South America,Brazil,Israel,Hermes-450,UAV,,2010.0,2011.0,2011.0,Yes,SIPRI,,,"SIPRI Comments: ""Brazilian designation RQ-450"""
122,Central,Egypt,China,ASN-209,UAV,,2010.0,2012.0,2014.0,Yes,SIPRI,,,"SIPRI Comments: ""Produced under license in Egypt"" "
123,Europe,Estonia,United States,RQ-11 Raven,UAV,,2010.0,,2010.0,Yes,CSD Drone Databook,US Army Document,US Embassy Tallinn,
124,Indo-Pacific,India,Israel,Heron-MP,UAV,,2010.0,2011.0,2011.0,Yes,SIPRI,,,"SIPRI Comments: ""Maritime patrol UAV"""
125,Indo-Pacific,India,Israel,Searcher Mk II,UAV,,2010.0,2011.0,2011.0,Yes,SIPRI,,,
126,Europe,Italy,United States,RQ-7 Shadow-200,UAV,,2010.0,2015.0,2015.0,Yes,SIPRI,,,"SIPRI Comments: ""EUR 51m deal; for 4 Shadow-200 UAV systems"" "
127,Central,Jordan,Austria,Camcopter S-100,UAV,,2010.0,2011.0,2012.0,Yes,SIPRI,,,
128,South America,Peru,Israel,MicroFalcon,UAV,,2010.0,,2011.0,Yes,CSD Drone Databook,Flight Global,,
129,South America,Peru,Israel,Orbiter 2,UAV,,2010.0,,2011.0,Yes,CSD Drone Databook,Flight Global,,
130,Europe,Poland,United States,ScanEagle,UAV,,2010.0,,2010.0,Yes,SIPRI,,,"SIPRI Comments: ""1-year lease for use in Afghanistan"""
131,Europe,Poland,United States,ScanEagle,UAV,,2010.0,2011.0,2011.0,Yes,SIPRI,,,"SIPRI Comments: ""$7.2m aid; for use in Afghanistan"""
132,Europe,Poland,Israel,Aerostar,UAV,,2010.0,,2012.0,No,Air Force Technology,Flight Global,,Canceled due to development timeline for ATOL capability
133,Europe,Russia,Israel,Searcher Mk II,UAV,,2010.0,2013.0,2014.0,Yes,SIPRI,,,"SIPRI Comments: ""Searcher 2 version; assembled/prodcued in Russia; Russian designation Forpost"" "
134,Central,Saudi Arabia,Germany,Luna,UAV,,2010.0,2011.0,2012.0,Yes,SIPRI,,,
135,Indo-Pacific,Singapore,Israel,Heron,UAV,,2010.0,2012.0,2013.0,Yes,SIPRI,,,
136,Europe,Sweden,United States,RQ-7 Shadow-200,UAV,,2010.0,2011.0,2011.0,Yes,SIPRI,,,"SIPRI Comments: ""$31m deal (part of $77m deal incl. 3-year training and support by Swedish company); Swedish designation AUV-3"""
137,Central,Syria,Iran,Ababil-3,UAV,,2010.0,2011.0,2011.0,Yes,SIPRI,,,
138,Central,Turkmenistan,Italy,Falco,UAV,,2010.0,2011.0,2011.0,Yes,SIPRI,Oryx,RAI News,"SIPRI Comments: ""EUR 8.7m deal; Falco-XN version"""
139,Europe,United Kingdom,United States,MQ-9 Reaper,Armed UAV,,2010.0,2014.0,2014.0,Yes,SIPRI,,,"SIPRI Comments: ""For use in Afghanistan"""
140,North America,United States,Austria,Camcopter S-100,UAV,,2010.0,2010.0,2011.0,Yes,SIPRI,,,"SIPRI Comments: ""Ordered for evaluation in Yellow Jacket program"""
141,Europe,Azerbaijan,Israel,Heron,UAV,,2011.0,,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""Retired 2017; Part of $1.6b deal"" "
142,Europe,Azerbaijan,Israel,Searcher,UAV,,2011.0,,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of $1.6b deal""  "
143,Europe,Azerbaijan,Israel,Orbiter 2,UAV,,2011.0,,2021.0,Yes,Oryx,sUAS News,CNN,"Confirmed that they have the system and was used in 44-day war, but unclear when it first entered operation. "
144,South America,Chile,Israel,Hermes-900,UAV,,2011.0,2013.0,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""UDS 40m deal"""
145,Africa,Ethiopia,Israel,WanderB,UAV,,2011.0,2011.0,2012.0,Yes,Oryx,Military Africa,BlueBird Aero Presentation,BlueBird Aero documents show Wander B training began in 2011 and ended in 2012.
146,Africa,Ethiopia,Israel,Boomerang,UAV,,2011.0,,,Yes,Military Africa,BlueBird,,No delivery date
147,Africa,Ethiopia,Israel,SpyLite,UAV,,2011.0,,,Yes,AF Technology,Military Africa,BlueBird,
148,Europe,France,Austria,Camcopter S-100,UAV,,2011.0,,2012.0,Yes,SIPRI,,,
149,Europe,Italy,United States,MQ-9 Reaper,UAV,,2011.0,2012.0,2012.0,Yes,SIPRI,Reuters,,Armed in 2015
150,Europe,Italy,United States,ScanEagle,UAV,,2011.0,2013.0,2013.0,Yes,SIPRI,,,
151,Central,Pakistan,China,CH-3,Armed UAV,,2011.0,2013.0,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""Incl. production under license in Pakistan as Burraq and Shahpar"""
152,Central,Pakistan,United States,RQ-11 Raven,UAV,,2011.0,,,Yes,Oryx,Pakistan Military Review,Reuters,Date of arrival unknown; likely went into operation for counterinsurgency use  shortly after transfer became public
153,Europe,Russia,Austria,Camcopter S-100,UAV,2011.0,2011.0,2011.0,2022.0,Yes,CSD Drone Databook,Key.Aero,Press Release,"Transfer of technology/systems for civil purposes; rumored to now be in use by Russian military against Ukraine, though Schiebel denies this.
From ODIN: ""At the same time, the Gorizont (Horizon) Air S-100, a Russian license-built version of the UAV was successfully tested aboard the Coast Guard patrol cutter Rubin. Russia intends to equip all Rubin-class patrol boats with these UAVs."" "
154,Central,Saudi Arabia,Italy,Falco,UAV,,2011.0,2012.0,2012.0,Yes,SIPRI,,,"SIPRI Comments: ""Lease"""
155,Indo-Pacific,Singapore,United States,ScanEagle,UAV,,2011.0,2012.0,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""For modernized Victory corvettes"""
156,Indo-Pacific,South Korea,Austria,Camcopter S-100,UAV,,2011.0,,2012.0,Yes,CSD Drone Databook,sUAS News,,
157,Africa,Uganda,United States,RQ-11B Raven,UAV,,2011.0,,2012.0,Yes,US Army Document,DefenceWeb,BBC,
158,Africa,Uganda,Israel,Orbiter 2,UAV,,2011.0,,,Pending,Military Africa,Flight Global,Defense Web,
159,Central,United Arab Emirates,China,Wing Loong-I,Armed UAV,,2011.0,2013.0,2017.0,Yes,SIPRI,,,
160,South America,Brazil,Israel,Hermes-450,UAV,,2012.0,2013.0,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""BRL 48m ($25m) deal; Brazilian designation RQ-450; assembled in Brazil"""
161,South America,Colombia,Israel,Hermes-450,UAV,,2012.0,2013.0,2013.0,Yes,SIPRI,,,
162,South America,Colombia,Israel,Hermes-900,UAV,,2012.0,2014.0,2014.0,Yes,SIPRI,,,
163,Europe,Finland,Israel,Orbiter 2B,UAV,,2012.0,2012.0,2016.0,Yes,CSD Drone Databook,Shephard Media,Flight Global,Appear to be subsequent follow-on orders on the original 2012 contract. 
164,Indo-Pacific,Japan,United States,ScanEagle,UAV,,2012.0,2013.0,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""JPY 1.2b ($9.9m) deal"""
165,Europe,Lithuania,United States,ScanEagle,UAV,,2012.0,,2012.0,Yes,SIPRI,,,"SIPRI Comments: ""Delivery planned for 2024"""
166,Indo-Pacific,Malaysia,United States,ScanEagle,UAV,,2012.0,2013.0,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""MYR 10m ($3.3m) lease via Malaysian company; for coastal surveillance"" "
167,Europe,Netherlands,United States,ScanEagle,UAV,,2012.0,,2012.0,Yes,SIPRI,,,
168,Europe,Netherlands,United States,ScanEagle,UAV,,2012.0,2013.0,2013.0,Yes,SIPRI,USAASC,,
169,Central,Pakistan,Germany,Luna NG,UAV,,2012.0,2019.0,2019.0,Yes,SIPRI,,,
